date,flow_windsor,storage,shortfall_london,restrictions
2070-07-06,6899,202828,0,0
2070-07-07,6380,202828,0,0
2070-07-08,5927,202828,0,0
2070-07-09,5540,202828,0,0
2070-07-10,5215,202828,0,0
2070-07-11,4925,202828,0,0
2070-07-12,4666,202828,0,0
2070-07-13,4437,202828,0,0
2070-07-14,4877,202828,0,0
2070-07-15,4863,202828,0,0
2070-07-16,9178,202828,0,0
2070-07-17,9016,202828,0,0
2070-07-18,8250,202828,0,0
2070-07-19,7559,202828,0,0
2070-07-20,6977,202828,0,0
2070-07-21,6490,202828,0,0
2070-07-22,6070,202828,0,0
2070-07-23,5705,202828,0,0
2070-07-24,5386,202828,0,0
2070-07-25,5105,202828,0,0
2070-07-26,4857,202828,0,0
2070-07-27,4634,202828,0,0
2070-07-28,4445,202828,0,0
2070-07-29,4263,202828,0,0
2070-07-30,4187,202828,0,0
2070-07-31,4565,202828,0,0
2070-08-01,4683,202828,0,0
2070-08-02,4583,202828,0,0
2070-08-03,4380,202828,0,0
2070-08-04,4174,202828,0,0
2070-08-05,3984,202828,0,0
2070-08-06,3810,202828,0,0
2070-08-07,3651,202828,0,0
2070-08-08,3564,202819,0,0
2070-08-09,3455,202805,0,0
2070-08-10,3333,202773,0,0
2070-08-11,3362,202719,0,0
2070-08-12,3328,202712,0,0
2070-08-13,3234,202703,0,0
2070-08-14,3119,202672,0,0
2070-08-15,3092,202616,0,0
2070-08-16,3035,202579,0,0
2070-08-17,2997,202532,0,0
2070-08-18,2925,202490,0,0
2070-08-19,2826,202432,0,0
2070-08-20,2720,202353,0,0
2070-08-21,2617,202253,0,0
2070-08-22,2517,202135,0,0
2070-08-23,2423,202000,0,0
2070-08-24,2333,201851,0,0
2070-08-25,2248,201696,0,0
2070-08-26,2168,201541,0,0
2070-08-27,2128,201386,0,0
2070-08-28,2091,201191,0,0
2070-08-29,2054,200918,0,0
2070-08-30,2020,200571,0,0
2070-08-31,1964,200153,0,0
2070-09-01,1905,199647,0,0
2070-09-02,1847,199177,0,0
2070-09-03,1797,198620,0,0
2070-09-04,1747,197982,0,0
2070-09-05,1700,197266,0,0
2070-09-06,1649,196475,0,0
2070-09-07,1602,195612,0,0
2070-09-08,1574,194683,0,0
2070-09-09,1552,193703,0,0
2070-09-10,1526,192676,0,0
2070-09-11,1497,191601,0,0
2070-09-12,1462,190477,0,0
2070-09-13,1446,189306,0,0
2070-09-14,1440,188117,0,0
2070-09-15,1428,186908,0,0
2070-09-16,1405,185671,0,0
2070-09-17,1373,184400,0,0
2070-09-18,1337,183090,0,0
2070-09-19,1297,181738,0,0
2070-09-20,1255,180342,0,0
2070-09-21,1214,178898,0,0
2070-09-22,1174,177405,0,0
2070-09-23,1174,175864,0,0
2070-09-24,1378,174305,0,0
2070-09-25,1775,173017,0,0
2070-09-26,2001,172264,0,0
2070-09-27,2089,171739,0,0
2070-09-28,2069,171253,0,0
2070-09-29,2008,170713,0,0
2070-09-30,1868,170271,0,0
2070-10-01,1768,169782,0,0
2070-10-02,1729,169355,0,0
2070-10-03,1667,168885,0,0
2070-10-04,1597,168322,0,0
2070-10-05,1522,167651,0,0
2070-10-06,1447,166871,0,0
2070-10-07,1376,165982,0,0
2070-10-08,1308,164989,0,0
2070-10-09,1245,163893,0,0
2070-10-10,1189,162700,0,0
2070-10-11,1136,161415,0,0
2070-10-12,1087,160044,0,0
2070-10-13,1044,158591,0,0
2070-10-14,1003,157064,0,0
2070-10-15,964,155466,0,0
2070-10-16,946,153801,0,0
2070-10-17,946,152242,0,0
2070-10-18,960,150668,0,0
2070-10-19,988,149078,0,0
2070-10-20,1010,147468,0,0
2070-10-21,1022,145839,0,0
2070-10-22,1022,144198,0,0
2070-10-23,1022,142545,0,0
2070-10-24,1012,140893,0,0
2070-10-25,978,139235,0,0
2070-10-26,944,137548,0,0
2070-10-27,909,135832,0,0
2070-10-28,875,134082,0,0
2070-10-29,843,132297,0,0
2070-10-30,812,130477,0,0
2070-10-31,783,128619,0,0
2070-11-01,755,126723,0,0
2070-11-02,737,124738,0,0
2070-11-03,737,122750,0,0
2070-11-04,1147,120749,0,0
2070-11-05,1733,119429,0,0
2070-11-06,2267,118892,0,0
2070-11-07,2344,118895,0,0
2070-11-08,2306,118912,0,0
2070-11-09,2446,118806,0,0
2070-11-10,2918,119071,0,0
2070-11-11,3091,119988,0,0
2070-11-12,3344,121153,0,0
2070-11-13,3176,122716,0,0
2070-11-14,2914,124211,0,0
2070-11-15,2749,125594,0,0
2070-11-16,2559,126850,0,0
2070-11-17,2325,127987,0,0
2070-11-18,2106,128827,0,0
2070-11-19,1965,129339,0,0
2070-11-20,1940,129607,0,0
2070-11-21,2068,129721,0,0
2070-11-22,2132,129804,0,0
2070-11-23,2132,129896,0,0
2070-11-24,2659,129998,0,0
2070-11-25,3110,130726,0,0
2070-11-26,5018,131988,0,0
2070-11-27,5024,134184,0,0
2070-11-28,4375,136281,0,0
2070-11-29,4320,138212,0,0
2070-11-30,10466,140152,0,0
2070-12-01,9627,142719,0,0
2070-12-02,7935,145210,0,0
2070-12-03,6920,147634,0,0
2070-12-04,6134,149910,0,0
2070-12-05,6525,152080,0,0
2070-12-06,9195,154368,0,0
2070-12-07,12462,156859,0,0
2070-12-08,10742,159350,0,0
2070-12-09,12670,161841,0,0
2070-12-10,11062,164332,0,0
2070-12-11,9637,166823,0,0
2070-12-12,8471,168627,0,0
2070-12-13,7534,170431,0,0
2070-12-14,7244,172235,0,0
2070-12-15,9248,174039,0,0
2070-12-16,8617,175843,0,0
2070-12-17,9084,177647,0,0
2070-12-18,8376,179451,0,0
2070-12-19,7663,181255,0,0
2070-12-20,7056,183059,0,0
2070-12-21,6541,184772,0,0
2070-12-22,6107,186316,0,0
2070-12-23,5810,187729,0,0
2070-12-24,5492,189069,0,0
2070-12-25,5193,190321,0,0
2070-12-26,4924,191493,0,0
2070-12-27,4682,192596,0,0
2070-12-28,4464,193639,0,0
